Year,AGS,Nationalität,Gebietseinheit,GeoCode,Value
2011,353,Ausländerinnen und Ausländer,Harburg,K03353,44
2011,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,5
2011,355,Ausländerinnen und Ausländer,Lüneburg,K03355,32
2011,356,Ausländerinnen und Ausländer,Osterholz,K03356,14
2011,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,10
2011,358,Ausländerinnen und Ausländer,Heidekreis,K03358,18
2011,359,Ausländerinnen und Ausländer,Stade,K03359,26
2011,360,Ausländerinnen und Ausländer,Uelzen,K03360,17
2011,361,Ausländerinnen und Ausländer,Verden,K03361,20
2011,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,271
2011,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,20
2011,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,13
2011,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,84
2011,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,82
2011,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,24
2011,451,Ausländerinnen und Ausländer,Ammerland,K03451,27
2011,452,Ausländerinnen und Ausländer,Aurich,K03452,14
2011,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,17
2011,454,Ausländerinnen und Ausländer,Emsland,K03454,84
2011,455,Ausländerinnen und Ausländer,Friesland,K03455,15
2011,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,56
2011,457,Ausländerinnen und Ausländer,Leer,K03457,41
2011,458,Ausländerinnen und Ausländer,Oldenburg,K03458,21
2011,459,Ausländerinnen und Ausländer,Osnabrück,K03459,65
2011,460,Ausländerinnen und Ausländer,Vechta,K03460,53
2011,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,19
2011,462,Ausländerinnen und Ausländer,Wittmund,K03462,12
2011,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,647
2011,0,Ausländerinnen und Ausländer,Niedersachsen,K030,1966
2012,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,110
2012,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,22
2012,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,60
2012,151,Ausländerinnen und Ausländer,Gifhorn,K03151,35
2012,153,Ausländerinnen und Ausländer,Goslar,K03153,41
2012,154,Ausländerinnen und Ausländer,Helmstedt,K03154,11
2012,155,Ausländerinnen und Ausländer,Northeim,K03155,32
2012,157,Ausländerinnen und Ausländer,Peine,K03157,38
2012,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,19
2012,159,Ausländerinnen und Ausländer,Göttingen,K03159,150
2012,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,518
2012,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,466
2012,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,335
2012,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
2012,251,Ausländerinnen und Ausländer,Diepholz,K03251,58
2012,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,64
2012,254,Ausländerinnen und Ausländer,Hildesheim,K03254,93
2012,255,Ausländerinnen und Ausländer,Holzminden,K03255,11
2012,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,24
2012,257,Ausländerinnen und Ausländer,Schaumburg,K03257,27
2012,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,743
2012,351,Ausländerinnen und Ausländer,Celle,K03351,30
2012,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,41
2012,353,Ausländerinnen und Ausländer,Harburg,K03353,42
2012,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,9
2012,355,Ausländerinnen und Ausländer,Lüneburg,K03355,30
2012,356,Ausländerinnen und Ausländer,Osterholz,K03356,14
2012,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,27
2012,358,Ausländerinnen und Ausländer,Heidekreis,K03358,22
2012,359,Ausländerinnen und Ausländer,Stade,K03359,44
2012,360,Ausländerinnen und Ausländer,Uelzen,K03360,17
2012,361,Ausländerinnen und Ausländer,Verden,K03361,34
2012,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,310
2012,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,46
