Year,Gebietseinheit,GeoCode,Value
2016,Leer,K03457,7.3
2016,Oldenburg,K03458,8.3
2016,Osnabrück,K03459,8.1
2016,Vechta,K03460,12.6
2016,Wesermarsch,K03461,8.1
2016,Wittmund,K03462,4.5
2016,Statistische Region Weser-Ems,K034,9.4
2016,Niedersachsen,K030,9.3
2017,Braunschweig Stadt,K03101,11.4
2017,Salzgitter Stadt,K03102,18.0
2017,Wolfsburg Stadt,K03103,14.8
2017,Gifhorn,K03151,6.3
2017,Goslar,K03153,9.2
2017,Helmstedt,K03154,6.9
2017,Northeim,K03155,6.3
2017,Peine,K03157,7.8
2017,Wolfenbüttel,K03158,6.0
2017,Göttingen,K03159,8.8
2017,Statistische Region Braunschweig,K031,9.4
2017,Hannover Region,K03241,15.1
2017,Hannover Landeshauptstadt,K03241001,20.1
2017,Diepholz,K03251,7.4
2017,Hameln-Pyrmont,K03252,10.6
2017,Hildesheim,K03254,8.2
2017,Holzminden,K03255,6.1
2017,Nienburg (Weser),K03256,8.2
2017,Schaumburg,K03257,8.5
2017,Statistische Region Hannover,K032,12.0
2017,Celle,K03351,7.5
2017,Cuxhaven,K03352,6.6
2017,Harburg,K03353,6.9
2017,Lüchow-Dannenberg,K03354,5.3
2017,Lüneburg,K03355,6.6
2017,Osterholz,K03356,5.6
2017,Rotenburg (Wümme),K03357,6.6
2017,Heidekreis,K03358,7.8
2017,Stade,K03359,8.5
2017,Uelzen,K03360,5.7
2017,Verden,K03361,7.6
2017,Statistische Region Lüneburg,K033,7.0
2017,Delmenhorst.Stadt,K03401,16.0
2017,Emden Stadt,K03402,10.7
2017,Oldenburg (Oldb) Stadt,K03403,9.9
2017,Osnabrück Stadt,K03404,14.5
2017,Wilhelmshaven Stadt,K03405,10.2
2017,Ammerland,K03451,6.1
2017,Aurich,K03452,5.8
2017,Cloppenburg,K03453,10.1
2017,Emsland,K03454,11.2
2017,Friesland,K03455,4.8
2017,Grafschaft Bentheim,K03456,15.5
2017,Leer,K03457,7.5
2017,Oldenburg,K03458,8.7
2017,Osnabrück,K03459,8.6
2017,Vechta,K03460,13.2
2017,Wesermarsch,K03461,8.2
2017,Wittmund,K03462,4.5
2017,Statistische Region Weser-Ems,K034,9.8
2017,Niedersachsen,K030,9.7
2018,Braunschweig Stadt,K03101,11.9
2018,Salzgitter Stadt,K03102,18.9
2018,Wolfsburg Stadt,K03103,15.5
2018,Gifhorn,K03151,6.7
2018,Goslar,K03153,9.8
2018,Helmstedt,K03154,7.1
2018,Northeim,K03155,6.6
2018,Peine,K03157,8.2
2018,Wolfenbüttel,K03158,6.2
2018,Göttingen,K03159,9.1
2018,Statistische Region Braunschweig,K031,9.9
2018,Hannover Region,K03241,15.6
2018,Hannover Landeshauptstadt,K03241001,20.6
2018,Diepholz,K03251,8.0
2018,Hameln-Pyrmont,K03252,11.1
2018,Hildesheim,K03254,8.7
2018,Holzminden,K03255,6.1
2018,Nienburg (Weser),K03256,8.5
2018,Schaumburg,K03257,8.8
2018,Statistische Region Hannover,K032,12.4
2018,Celle,K03351,7.8
2018,Cuxhaven,K03352,6.7
2018,Harburg,K03353,7.4
2018,Lüchow-Dannenberg,K03354,5.5
2018,Lüneburg,K03355,6.9
