Year,Gebietseinheit,Nationalität,GeoCode,Value
2012,Gifhorn,Ausländerinnen und Ausländer,K03151,35
2012,Goslar,Ausländerinnen und Ausländer,K03153,41
2012,Helmstedt,Ausländerinnen und Ausländer,K03154,11
2012,Northeim,Ausländerinnen und Ausländer,K03155,32
2012,Peine,Ausländerinnen und Ausländer,K03157,38
2012,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,19
2012,Göttingen,Ausländerinnen und Ausländer,K03159,150
2012,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,518
2012,Hannover  Region,Ausländerinnen und Ausländer,K03241,466
2012,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,335
2012,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,131
2012,Diepholz,Ausländerinnen und Ausländer,K03251,58
2012,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,64
2012,Hildesheim,Ausländerinnen und Ausländer,K03254,93
2012,Holzminden,Ausländerinnen und Ausländer,K03255,11
2012,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,24
2012,Schaumburg,Ausländerinnen und Ausländer,K03257,27
2012,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,743
2012,Celle,Ausländerinnen und Ausländer,K03351,30
2012,Cuxhaven,Ausländerinnen und Ausländer,K03352,41
2012,Harburg,Ausländerinnen und Ausländer,K03353,42
2012,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,9
2012,Lüneburg,Ausländerinnen und Ausländer,K03355,30
2012,Osterholz,Ausländerinnen und Ausländer,K03356,14
2012,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,27
2012,Heidekreis,Ausländerinnen und Ausländer,K03358,22
2012,Stade,Ausländerinnen und Ausländer,K03359,44
2012,Uelzen,Ausländerinnen und Ausländer,K03360,17
2012,Verden,Ausländerinnen und Ausländer,K03361,34
2012,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,310
2012,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,46
2012,Emden  Stadt,Ausländerinnen und Ausländer,K03402,16
2012,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,107
2012,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,74
2012,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,19
2012,Ammerland,Ausländerinnen und Ausländer,K03451,29
2012,Aurich,Ausländerinnen und Ausländer,K03452,30
2012,Cloppenburg,Ausländerinnen und Ausländer,K03453,62
2012,Emsland,Ausländerinnen und Ausländer,K03454,115
2012,Friesland,Ausländerinnen und Ausländer,K03455,16
2012,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,74
2012,Leer,Ausländerinnen und Ausländer,K03457,36
2012,Oldenburg,Ausländerinnen und Ausländer,K03458,43
2012,Osnabrück,Ausländerinnen und Ausländer,K03459,81
2012,Vechta,Ausländerinnen und Ausländer,K03460,90
2012,Wesermarsch,Ausländerinnen und Ausländer,K03461,18
2012,Wittmund,Ausländerinnen und Ausländer,K03462,12
2012,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,868
2012,Niedersachsen,Ausländerinnen und Ausländer,K030,2439
2013,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,117
